MANAGEMENT_TYPE_USE,MANAGEMENT_STATUS_USE,JURISDICTION,JURISDICTIONAL_WATERS,FMP,SECTOR_USE,SUBSECTOR,REGION,ZONE_USE,COMMON_NAME_USE,CLUSTER
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"COWFISH, HONEYCOMBED",6489
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"COWFISH, SCRAWLED",6490
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,CREOLE-FISH,6491
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,Calamus pennatula,6492
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"DAMSELFISH, BICOLOR",6493
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"DAMSELFISH, DUSKY",6494
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"DAMSELFISH, THREESPOT",6495
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"DAMSELFISH, YELLOWTAIL",6496
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"DIVER, SAND",6497
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,DOCTORFISH,6498
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"DRUM, SPOTTED",6499
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"DURGON, BLACK",6500
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"EEL, GOLDSPOTTED",6501
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"FILEFISH, SCRAWLED",6502
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"FILEFISH, WHITESPOTTED",6503
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,FLAMEFISH,6504
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"FLOUNDER, PEACOCK",6505
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,FROGFISHES,6506
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"GOATFISH, SPOTTED",6507
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"GOATFISH, YELLOW",6508
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"GOBY, RUSTY",6509
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"GOBY,NEON",6510
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"GRAMMA, ROYAL",6511
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,GRAYSBY,6512
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"GROUPER, BLACK",6513
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"GROUPER, CONEY",6514
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"GROUPER, GOLIATH",6515
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"GROUPER, MISTY",6516
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"GROUPER, NASSAU",6517
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"GROUPER, RED",6518
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"GROUPER, TIGER",6519
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"GROUPER, YELLOWEDGE",6520
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"GROUPER, YELLOWFIN",6521
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"GRUNT, BLUESTRIPED",6522
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"GRUNT, FRENCH",6523
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"GRUNT, WHITE",6524
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"GURNARD, FLYING",6525
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"HAMLET, BUTTER",6526
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"HAWKFISH, REDSPOTTED",6527
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,HIGH-HAT,6528
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"HIND, RED",6529
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"HIND, ROCK",6530
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,HOGFISH,6531
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"HOGFISH, SPANISH",6532
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"JACK, ALMACO",6533
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"JACK, BAR",6534
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"JACK, BLACK",6535
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"JACK, HORSE-EYE",6536
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"JACK, YELLOW",6537
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,JACKKNIFE-FISH,6538
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"JAWFISH, DUSKY",6539
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"JAWFISH, YELLOWHEAD",6540
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"MAJOR, SERGEANT",6541
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,MARGATE,6542
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"MORAY, CHAIN",6543
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"MORAY, GOLDENTAIL",6544
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"MORAY, GREEN",6545
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,Ogcocephalus,6546
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"PARROTFISH, BLUE",6547
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"PARROTFISH, MIDNIGHT",6548
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"PARROTFISH, PRINCESS",6549
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"PARROTFISH, QUEEN",6550
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"PARROTFISH, RAINBOW",6551
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"PARROTFISH, REDBAND",6552
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"PARROTFISH, REDFIN",6553
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"PARROTFISH, REDTAIL",6554
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"PARROTFISH, STOPLIGHT",6555
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"PARROTFISH, STRIPED",6556
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"PIPEFISHES, SEAWEED",6557
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,PORCUPINEFISH,6558
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"PORGY, JOLTHEAD",6559
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"PORGY, SHEEPSHEAD",6560
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,PORKFISH,6561
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,PUDDINGWIFE,6562
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"PUFFER, SHARPNOSE",6563
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"RUNNER, BLUE",6564
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,SCHOOLMASTER,6565
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,SCORPIONFISHES,6566
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,SEAHORSES,6567
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"SNAPPER, BLACK",6568
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"SNAPPER, BLACKFIN",6569
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"SNAPPER, CARDINAL",6570
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"SNAPPER, DOG",6571
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"SNAPPER, GLASSEYE",6572
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"SNAPPER, GRAY",6573
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"SNAPPER, LANE",6574
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"SNAPPER, MAHOGANY",6575
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"SNAPPER, MUTTON",6576
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"SNAPPER, QUEEN",6577
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,GILLNETS OR TRAMMEL NETS,CARIBBEAN,GRAMMANIK BANK REEF FISH FISHERY MANAGEMENT AREA,"SNAPPER, SILK",6578
