MANAGEMENT_TYPE_USE,MANAGEMENT_STATUS_USE,JURISDICTION,JURISDICTIONAL_WATERS,FMP,SECTOR_USE,SUBSECTOR,REGION,ZONE_USE,SPP_NAME,COMMON_NAME_USE,CLUSTER
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,ALL,"TILEFISH, BLACKLINE",75
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,ALL,"TILEFISH, BLUELINE",76
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,ALL,"TILEFISH, GOLDEN",77
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,ALL,"TILEFISH, GOLDFACE",78
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,ALL,TOMTATE,79
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,ALL,"TRIGGERFISH, GRAY",80
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,ALL,"TRIGGERFISH, QUEEN",81
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,ALL,WENCHMAN,82
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,ALL,"AMBERJACK, GREATER",83
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,ALL,"AMBERJACK, LESSER",84
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,ALL,AMBERJACKS,85
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,ALL,"BASS, BANK SEA",86
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,ALL,"BASS, BLACK SEA",87
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,ALL,"BASSES, MIXED SEA",88
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,ALL,Caulolatilus,89
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,ALL,Centropristis melana,90
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,ALL,"GROUPER, BLACK",91
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,ALL,"GROUPER, GAG",92
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,ALL,"GROUPER, GOLIATH",93
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,ALL,"GROUPER, MISTY",94
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,ALL,"GROUPER, NASSAU",95
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,ALL,"GROUPER, RED",96
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,ALL,"GROUPER, SNOWY",97
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,ALL,"GROUPER, WARSAW",98
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,ALL,"GROUPER, YELLOWEDGE",99
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,ALL,"GROUPER, YELLOWFIN",100
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,ALL,"GROUPER, YELLOWMOUTH",101
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,ALL,"GRUNT, WHITE",102
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,ALL,"HIND, RED",103
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,ALL,"HIND, ROCK",104
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,ALL,"HIND, SPECKLED",105
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,ALL,HOGFISH,106
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,ALL,"JACK, ALMACO",107
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,ALL,"PERCH, DWARF SAND",108
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,MADISON-SWANSON SITES AND STEAMBOAT LUMPS,ALL,"PERCH, SAND",109
