MANAGEMENT_TYPE_USE,MANAGEMENT_STATUS_USE,JURISDICTION,JURISDICTIONAL_WATERS,FMP,SECTOR_USE,SUBSECTOR,REGION,ZONE_USE,SPP_NAME,COMMON_NAME_USE,CLUSTER
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"DAMSELFISH, BICOLOR",5694
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"DAMSELFISH, DUSKY",5695
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"DAMSELFISH, THREESPOT",5696
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"DAMSELFISH, YELLOWTAIL",5697
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"DIVER, SAND",5698
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,DOCTORFISH,5699
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"DRUM, SPOTTED",5700
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"DURGON, BLACK",5701
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"EEL, GOLDSPOTTED",5702
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"FILEFISH, SCRAWLED",5703
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"FILEFISH, WHITESPOTTED",5704
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,FLAMEFISH,5705
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"FLOUNDER, PEACOCK",5706
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,FROGFISHES,5707
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"GOATFISH, SPOTTED",5708
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"GOATFISH, YELLOW",5709
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"GOBY, RUSTY",5710
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"GOBY,NEON",5711
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"GRAMMA, ROYAL",5712
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,GRAYSBY,5713
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"GROUPER, BLACK",5714
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"GROUPER, CONEY",5715
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"GROUPER, GOLIATH",5716
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"GROUPER, MISTY",5717
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"GROUPER, NASSAU",5718
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"GROUPER, RED",5719
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"GROUPER, TIGER",5720
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"GROUPER, YELLOWEDGE",5721
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"GROUPER, YELLOWFIN",5722
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"GRUNT, BLUESTRIPED",5723
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"GRUNT, FRENCH",5724
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"GRUNT, WHITE",5725
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"GURNARD, FLYING",5726
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"HAMLET, BUTTER",5727
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"HAWKFISH, REDSPOTTED",5728
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,HIGH-HAT,5729
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"HIND, RED",5730
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"HIND, ROCK",5731
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,HOGFISH,5732
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"HOGFISH, SPANISH",5733
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"JACK, ALMACO",5734
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"JACK, BAR",5735
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"JACK, BLACK",5736
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"JACK, HORSE-EYE",5737
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"JACK, YELLOW",5738
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,JACKKNIFE-FISH,5739
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"JAWFISH, DUSKY",5740
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"JAWFISH, YELLOWHEAD",5741
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"MAJOR, SERGEANT",5742
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,MARGATE,5743
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"MORAY, CHAIN",5744
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"MORAY, GOLDENTAIL",5745
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"MORAY, GREEN",5746
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,Ogcocephalus,5747
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"PARROTFISH, BLUE",5748
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"PARROTFISH, MIDNIGHT",5749
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"PARROTFISH, PRINCESS",5750
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"PARROTFISH, QUEEN",5751
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"PARROTFISH, RAINBOW",5752
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"PARROTFISH, REDBAND",5753
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"PARROTFISH, REDFIN",5754
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"PARROTFISH, REDTAIL",5755
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"PARROTFISH, STOPLIGHT",5756
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"PARROTFISH, STRIPED",5757
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"PIPEFISHES, SEAWEED",5758
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,PORCUPINEFISH,5759
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"PORGY, JOLTHEAD",5760
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"PORGY, SHEEPSHEAD",5761
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,PORKFISH,5762
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,PUDDINGWIFE,5763
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"PUFFER, SHARPNOSE",5764
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"RUNNER, BLUE",5765
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,SCHOOLMASTER,5766
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,SCORPIONFISHES,5767
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,SEAHORSES,5768
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"SNAPPER, BLACK",5769
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"SNAPPER, BLACKFIN",5770
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"SNAPPER, CARDINAL",5771
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"SNAPPER, DOG",5772
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"SNAPPER, GLASSEYE",5773
CLOSURE,ONCE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,BOTTOM LONGLINE,CARIBBEAN,RED HIND SPAWNING AGGREGATION EAST OF ST. CROIX REEF FISH FISHERY MANAGEMENT AREA,ALL,"SNAPPER, GRAY",5774
