MANAGEMENT_TYPE_USE,JURISDICTION,JURISDICTIONAL_WATERS,FMP,SECTOR_USE,SUBSECTOR_USE,REGION,SPP_NAME,CLUSTER
CLOSURE,FEDERAL,EEZ,SHRIMP FISHERY OF THE SOUTH ATLANTIC,COMMERCIAL,ALL,GULF OF MEXICO,ALL,30
CLOSURE,FEDERAL,EEZ,GOLDEN CRAB FISHERY OF THE SOUTH ATLANTIC,RECREATIONAL,ALL,GULF OF MEXICO,ALL,31
CLOSURE,FEDERAL,EEZ,GOLDEN CRAB FISHERY OF THE SOUTH ATLANTIC,COMMERCIAL,ALL,GULF OF MEXICO,ALL,32
CLOSURE,FEDERAL,EEZ,RED DRUM FISHERY OF THE GULF OF MEXICO,RECREATIONAL,ALL,GULF OF MEXICO,ALL,33
CLOSURE,FEDERAL,EEZ,RED DRUM FISHERY OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,ALL,34
CLOSURE,FEDERAL,EEZ,DOLPHIN AND WAHOO FISHERY OFF THE ATLANTIC STATES,RECREATIONAL,ALL,GULF OF MEXICO,ALL,35
CLOSURE,FEDERAL,EEZ,DOLPHIN AND WAHOO FISHERY OFF THE ATLANTIC STATES,COMMERCIAL,ALL,GULF OF MEXICO,ALL,36
CLOSURE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,ALL,GULF OF MEXICO,ALL,37
CLOSURE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,ALL,38
CLOSURE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,RECREATIONAL,ALL,GULF OF MEXICO,ALL,39
CLOSURE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,ALL,GULF OF MEXICO,ALL,40
IGNORABLE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,RECREATIONAL,ALL,SOUTH ATLANTIC,ALL,41
IGNORABLE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,ALL,SOUTH ATLANTIC,ALL,42
IGNORABLE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,RECREATIONAL,ALL,GULF OF MEXICO,ALL,43
IGNORABLE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,ALL,GULF OF MEXICO,ALL,44
IGNORABLE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,RECREATIONAL,ALL,MID ATLANTIC,ALL,45
IGNORABLE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,ALL,MID ATLANTIC,ALL,46
IGNORABLE,FEDERAL,EEZ,SHRIMP FISHERY OF THE GULF OF MEXICO,RECREATIONAL,ALL,GULF OF MEXICO,ALL,47
IGNORABLE,FEDERAL,EEZ,SHRIMP FISHERY OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,ALL,48
IGNORABLE,FEDERAL,EEZ,RED DRUM FISHERY OF THE GULF OF MEXICO,RECREATIONAL,ALL,GULF OF MEXICO,ALL,49
IGNORABLE,FEDERAL,EEZ,RED DRUM FISHERY OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,ALL,50
IGNORABLE,FEDERAL,EEZ,SPINY LOBSTER FISHERY OF THE GULF OF MEXICO AND SOUTH ATLANTIC,RECREATIONAL,ALL,SOUTH ATLANTIC,ALL,51
IGNORABLE,FEDERAL,EEZ,SPINY LOBSTER FISHERY OF THE GULF OF MEXICO AND SOUTH ATLANTIC,COMMERCIAL,ALL,SOUTH ATLANTIC,ALL,52
IGNORABLE,FEDERAL,EEZ,SPINY LOBSTER FISHERY OF THE GULF OF MEXICO AND SOUTH ATLANTIC,RECREATIONAL,ALL,GULF OF MEXICO,ALL,53
IGNORABLE,FEDERAL,EEZ,SPINY LOBSTER FISHERY OF THE GULF OF MEXICO AND SOUTH ATLANTIC,COMMERCIAL,ALL,GULF OF MEXICO,ALL,54
IGNORABLE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,ALL,GULF OF MEXICO,ALL,55
IGNORABLE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,ALL,56
DEFINITION,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,RECREATIONAL,ALL,SOUTH ATLANTIC,ALL,57
DEFINITION,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,COMMERCIAL,ALL,SOUTH ATLANTIC,ALL,58
DEFINITION,FEDERAL,EEZ,SPINY LOBSTER FISHERY OF THE GULF OF MEXICO AND SOUTH ATLANTIC,RECREATIONAL,ALL,GULF OF MEXICO,ALL,59
DEFINITION,FEDERAL,EEZ,SPINY LOBSTER FISHERY OF THE GULF OF MEXICO AND SOUTH ATLANTIC,COMMERCIAL,ALL,GULF OF MEXICO,ALL,60
DEFINITION,FEDERAL,EEZ,SPINY LOBSTER FISHERY OF THE GULF OF MEXICO AND SOUTH ATLANTIC,RECREATIONAL,ALL,SOUTH ATLANTIC,ALL,61
DEFINITION,FEDERAL,EEZ,SPINY LOBSTER FISHERY OF THE GULF OF MEXICO AND SOUTH ATLANTIC,COMMERCIAL,ALL,SOUTH ATLANTIC,ALL,62
DEFINITION,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,RECREATIONAL,ALL,MID ATLANTIC,ALL,63
DEFINITION,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,ALL,MID ATLANTIC,ALL,64
DEFINITION,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,RECREATIONAL,ALL,GULF OF MEXICO,ALL,65
DEFINITION,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,ALL,GULF OF MEXICO,ALL,66
DEFINITION,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,RECREATIONAL,ALL,SOUTH ATLANTIC,ALL,67
DEFINITION,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,ALL,SOUTH ATLANTIC,ALL,68
DEFINITION,FEDERAL,EEZ,ATLANTIC COAST RED DRUM FISHERY,RECREATIONAL,ALL,SOUTH ATLANTIC,ALL,69
DEFINITION,FEDERAL,EEZ,ATLANTIC COAST RED DRUM FISHERY,COMMERCIAL,ALL,SOUTH ATLANTIC,ALL,70
DEFINITION,FEDERAL,EEZ,ATLANTIC COAST RED DRUM FISHERY,RECREATIONAL,ALL,MID ATLANTIC,ALL,71
DEFINITION,FEDERAL,EEZ,ATLANTIC COAST RED DRUM FISHERY,COMMERCIAL,ALL,MID ATLANTIC,ALL,72
DEFINITION,FEDERAL,EEZ,RED DRUM FISHERY OF THE GULF OF MEXICO,RECREATIONAL,ALL,GULF OF MEXICO,ALL,73
DEFINITION,FEDERAL,EEZ,RED DRUM FISHERY OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,ALL,74
DEFINITION,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,ALL,GULF OF MEXICO,ALL,75
DEFINITION,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,ALL,GULF OF MEXICO,ALL,76
DEFINITION,FEDERAL,EEZ,GOLDEN CRAB FISHERY OF THE SOUTH ATLANTIC,RECREATIONAL,ALL,SOUTH ATLANTIC,ALL,77
DEFINITION,FEDERAL,EEZ,GOLDEN CRAB FISHERY OF THE SOUTH ATLANTIC,COMMERCIAL,ALL,SOUTH ATLANTIC,ALL,78
DEFINITION,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,RECREATIONAL,ALL,CARIBBEAN,ALL,79
