MANAGEMENT_TYPE_USE,JURISDICTION,JURISDICTIONAL_WATERS,FMP,SECTOR_USE,REGION,SPP_NAME,SECTOR_ID
DEFINITION,FEDERAL,EEZ,DOLPHIN AND WAHOO FISHERY OFF THE ATLANTIC STATES,COMMERCIAL,SOUTH ATLANTIC,ALL,84
DEFINITION,FEDERAL,EEZ,DOLPHIN AND WAHOO FISHERY OFF THE ATLANTIC STATES,RECREATIONAL,MID ATLANTIC,ALL,85
DEFINITION,FEDERAL,EEZ,DOLPHIN AND WAHOO FISHERY OFF THE ATLANTIC STATES,COMMERCIAL,MID ATLANTIC,ALL,86
DEFINITION,FEDERAL,EEZ,DOLPHIN AND WAHOO FISHERY OFF THE ATLANTIC STATES,RECREATIONAL,NORTH ATLANTIC,ALL,87
DEFINITION,FEDERAL,EEZ,DOLPHIN AND WAHOO FISHERY OFF THE ATLANTIC STATES,COMMERCIAL,NORTH ATLANTIC,ALL,88
DEFINITION,FEDERAL,EEZ,SHRIMP FISHERY OF THE GULF OF MEXICO,RECREATIONAL,GULF OF MEXICO,ALL,89
DEFINITION,FEDERAL,EEZ,SHRIMP FISHERY OF THE GULF OF MEXICO,COMMERCIAL,GULF OF MEXICO,ALL,90
DEFINITION,FEDERAL,EEZ,SPINY LOBSTER FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,RECREATIONAL,CARIBBEAN,ALL,91
DEFINITION,FEDERAL,EEZ,SPINY LOBSTER FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,CARIBBEAN,ALL,92
DEHOOKING DEVICE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,GULF OF MEXICO,ALL,93
DEHOOKING DEVICE,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,GULF OF MEXICO,ALL,94
DEHOOKING DEVICE,FEDERAL,EEZ,SHRIMP FISHERY OF THE GULF OF MEXICO,RECREATIONAL,GULF OF MEXICO,ALL,95
DEHOOKING DEVICE,FEDERAL,EEZ,SHRIMP FISHERY OF THE GULF OF MEXICO,COMMERCIAL,GULF OF MEXICO,ALL,96
MSST,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,GULF OF MEXICO,"TRIGGERFISH, GRAY",97
MSST,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,GULF OF MEXICO,"TRIGGERFISH, GRAY",98
PROHIBITED SPECIES,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,COMMERCIAL,SOUTH ATLANTIC,"SNAPPER, RED",99
CLOSURE,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,CARIBBEAN,ALL,100
PROHIBITED SPECIES,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,RECREATIONAL,CARIBBEAN,JEWFISH,101
PROHIBITED SPECIES,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,CARIBBEAN,JEWFISH,102
PROHIBITED SPECIES,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,RECREATIONAL,CARIBBEAN,"GROUPER, NASSAU",103
PROHIBITED SPECIES,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,CARIBBEAN,"GROUPER, NASSAU",104
PROHIBITED GEAR,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,RECREATIONAL,CARIBBEAN,ALL,105
PROHIBITED GEAR,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,COMMERCIAL,CARIBBEAN,ALL,106
CLOSURE,FEDERAL,EEZ,SPINY LOBSTER FISHERY OF THE GULF OF MEXICO AND SOUTH ATLANTIC,RECREATIONAL,GULF OF MEXICO,"LOBSTER, CARIBBEAN SPINY",107
CLOSURE,FEDERAL,EEZ,SPINY LOBSTER FISHERY OF THE GULF OF MEXICO AND SOUTH ATLANTIC,COMMERCIAL,GULF OF MEXICO,"LOBSTER, CARIBBEAN SPINY",108
LIMITED ACCESS SYSTEM,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,GULF OF MEXICO,"MACKEREL, KING",109
"NON-OFFSET, NON-STAINLESS STEEL CIRCLE HOOKS",FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,RECREATIONAL,SOUTH ATLANTIC,ALL,110
"NON-OFFSET, NON-STAINLESS STEEL CIRCLE HOOKS",FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,COMMERCIAL,SOUTH ATLANTIC,ALL,111
IFQ PROGRAM ADAPTED,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,GULF OF MEXICO,"GROUPER, GAG",112
CLOSURE,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,RECREATIONAL,SOUTH ATLANTIC,ALL,113
CLOSURE,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,COMMERCIAL,SOUTH ATLANTIC,ALL,114
CLOSURE,FEDERAL,EEZ,SPINY LOBSTER FISHERY OF THE GULF OF MEXICO AND SOUTH ATLANTIC,COMMERCIAL,SOUTH ATLANTIC,ALL,115
IFQ PROGRAM ADAPTED,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,GULF OF MEXICO,IFQ: TILEFISHES,116
PERMIT MORATORIUM,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,RECREATIONAL,GULF OF MEXICO,ALL,117
PERMIT MORATORIUM,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,GULF OF MEXICO,"MACKEREL, KING",118
IFQ PROGRAM ADAPTED,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,GULF OF MEXICO,"GROUPER, RED",119
IFQ PROGRAM ADAPTED,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,GULF OF MEXICO,"SNAPPER, RED",120
IFQ PROGRAM ADAPTED,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,GULF OF MEXICO,IFQ: DEEP-WATER GROUPERS (DWG),121
IFQ PROGRAM ADAPTED,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,COMMERCIAL,GULF OF MEXICO,IFQ: OTHER SHALLOW-WATER GROUPERS (OTHER SWG),122
PROHIBITED GEAR,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,RECREATIONAL,GULF OF MEXICO,COBIA,123
PROHIBITED GEAR,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,GULF OF MEXICO,COBIA,124
SEA BASS POT/TRAP SPECIFICATIONS,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,COMMERCIAL,SOUTH ATLANTIC,ALL,125
PROHIBITED GEAR,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,COMMERCIAL,SOUTH ATLANTIC,ALL,126
PERMITTED AND AUTHORIZED GEAR,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,RECREATIONAL,SOUTH ATLANTIC,ALL,127
PROHIBITED GEAR,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,RECREATIONAL,SOUTH ATLANTIC,ALL,128
CLOSURE,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,RECREATIONAL,SOUTH ATLANTIC,"SNAPPER, RED",129
FISHING SEASON,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,COMMERCIAL,SOUTH ATLANTIC,"AMBERJACK, GREATER",130
PERMIT MORATORIUM,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,RECREATIONAL,GULF OF MEXICO,ALL,131
FISHING YEAR,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,RECREATIONAL,GULF OF MEXICO,"MACKEREL, KING",132
FISHING YEAR,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,GULF OF MEXICO,"MACKEREL, KING",133
FISHING SEASON,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,COMMERCIAL,SOUTH ATLANTIC,"TRIGGERFISH, GRAY",134
